"SITE_ID","YEAR","WEEK","DATEON","DATEOFF","SO2_CONC","SO4_CONC","NO3_CONC","HNO3_CONC","TNO3_CONC","NH4_CONC","CA_CONC","NA_CONC","MG_CONC","K_CONC","CL_CONC"
"KNZ184","2015.0","1.0","12/30/2014 09:00:00","01/06/2015 08:00:00","0.719","1.383","3.851","0.214","4.061","1.345","0.682","0.111","0.038","0.052","0.143"
"BWR139","2015.0","1.0","12/30/2014 09:00:00","01/06/2015 08:00:00","1.404","1.136","1.097","0.655","1.742","0.674","0.066","0.074","0.017","0.042","0.022"
"SEK430","2015.0","1.0","12/30/2014 09:00:00","01/06/2015 08:00:00","0.325","0.385","0.77","0.995","1.749","0.337","0.04","0.033","0.007","0.029","0.017"
"JOT403","2015.0","1.0","12/30/2014 09:00:00","01/06/2015 08:00:00","0.329","0.478","0.502","0.761","1.251","0.181","0.3","0.165","0.031","0.046","0.044"
"ALC188","2015.0","1.0","12/30/2014 09:00:00","01/06/2015 08:00:00","1.071","1.114","0.179","0.811","0.977","0.411","0.082","0.037","0.009","0.044","0.039"
"PIN414","2015.0","1.0","12/30/2014 09:00:00","01/06/2015 08:00:00","","","","","","","","","","",""
"WFM105","2015.0","1.0","12/30/2014 09:00:00","01/06/2015 08:00:00","0.969","0.656","0.228","0.294","0.517","0.219","0.072","0.058","0.015","0.013","0.028"
"PAL190","2015.0","1.0","12/30/2014 09:00:00","01/06/2015 08:00:00","1.209","1.784","2.72","0.148","2.865","1.347","0.174","0.025","0.013","0.027","0.025"
"NIC001","2015.0","1.0","12/30/2014 09:00:00","01/06/2015 08:00:00","0.737","0.734","0.495","0.164","0.656","0.323","0.098","0.068","0.016","0.017","0.072"
"CTH110","2015.0","1.0","12/30/2014 09:00:00","01/06/2015 08:00:00","1.182","1.036","0.925","0.321","1.241","0.53","0.136","0.069","0.026","0.047","0.055"
"YOS404","2015.0","1.0","12/30/2014 09:00:00","01/06/2015 08:00:00","0.229","0.174","0.049","0.093","0.141","0.066","0.031","0.043","0.004","0.009","0.033"
"DEN417","2015.0","1.0","12/30/2014 09:00:00","01/06/2015 08:00:00","0.517","0.169","0.031","0.031","0.062","0.051","0.009","0.015","0.004","0.005","0.019"
"BBE401","2015.0","1.0","12/30/2014 09:00:00","01/06/2015 08:00:00","","","","","","","","","","",""
"OXF122","2015.0","1.0","12/30/2014 09:00:00","01/06/2015 08:00:00","2.249","1.297","2.178","0.357","2.53","0.844","0.29","0.062","0.056","0.055","0.101"
"LAV410","2015.0","1.0","12/30/2014 09:00:00","01/06/2015 08:00:00","0.232","0.118","0.033","0.045","0.078","0.057","0.044","0.013","0.003","0.007","0.014"
"DCP114","2015.0","1.0","12/30/2014 09:00:00","01/06/2015 08:00:00","2.453","1.289","1.905","0.524","2.421","0.858","0.224","0.07","0.048","0.046","0.068"
"HWF187","2015.0","1.0","12/30/2014 09:00:00","01/06/2015 08:00:00","0.872","0.646","0.285","0.194","0.476","0.252","0.067","0.056","0.014","0.018","0.041"
"BEL116","2015.0","1.0","12/30/2014 09:00:00","01/06/2015 08:00:00","1.558","1.255","1.262","0.784","2.034","0.689","0.155","0.115","0.023","0.058","0.097"
"CAT175","2015.0","1.0","12/30/2014 09:00:00","01/06/2015 08:00:00","1.141","0.97","0.65","0.413","1.057","0.409","0.12","0.058","0.021","0.026","0.033"
"QAK172","2015.0","1.0","12/30/2014 09:00:00","01/06/2015 08:00:00","2.648","0.954","1.104","0.737","1.829","0.489","0.273","0.038","0.057","0.031","0.045"
"DCP114","2015.0","2.0","01/06/2015 09:00:00","01/13/2015 08:00:00","2.913","1.413","2.323","0.504","2.819","0.895","0.299","0.357","0.061","0.088","0.357"
"CAT175","2015.0","2.0","01/06/2015 09:00:00","01/13/2015 08:00:00","2.995","1.278","1.233","0.827","2.047","0.61","0.092","0.236","0.019","0.04","0.058"
"ALC188","2015.0","2.0","01/06/2015 09:00:00","01/13/2015 08:00:00","0.845","1.084","0.652","0.871","1.509","0.441","0.173","0.05","0.018","","0.036"
"BEL116","2015.0","2.0","01/06/2015 09:00:00","01/13/2015 08:00:00","2.749","1.288","1.505","0.758","2.251","0.728","0.172","0.53","0.028","0.058","0.632"
"BBE401","2015.0","2.0","01/06/2015 09:00:00","01/13/2015 08:00:00","0.371","0.978","0.795","0.751","1.534","0.461","0.199","0.021","0.011","0.024","0.019"
"YOS404","2015.0","2.0","01/06/2015 09:00:00","01/13/2015 08:00:00","0.226","0.279","0.394","0.469","0.855","0.236","0.016","0.008","0.003","0.015","0.015"
"CTH110","2015.0","2.0","01/06/2015 09:00:00","01/13/2015 08:00:00","3.347","1.195","0.986","0.576","1.553","0.567","0.107","0.217","0.023","0.042","0.151"
"NIC001","2015.0","2.0","01/06/2015 09:00:00","01/13/2015 08:00:00","2.002","1.237","0.866","0.441","1.3","0.582","0.067","0.174","0.017","0.038","0.09"
"KNZ184","2015.0","2.0","01/06/2015 09:00:00","01/13/2015 08:00:00","0.963","1.0","2.42","0.325","2.739","0.875","1.18","0.152","0.051","0.053","0.148"
"DEN417","2015.0","2.0","01/06/2015 09:00:00","01/13/2015 08:00:00","0.363","0.079","0.03","0.034","0.063","0.028","0.006","0.005","0.003","0.005","0.017"
"OXF122","2015.0","2.0","01/06/2015 09:00:00","01/13/2015 08:00:00","6.644","1.771","2.715","0.457","3.165","1.127","0.372","0.381","0.07","0.075","0.507"
"PIN414","2015.0","2.0","01/06/2015 09:00:00","01/13/2015 08:00:00","0.271","0.41","1.003","0.455","1.451","0.324","0.068","0.131","0.025","0.042","0.017"
"HWF187","2015.0","2.0","01/06/2015 09:00:00","01/13/2015 08:00:00","1.664","1.15","0.537","0.464","0.993","0.461","0.048","0.123","0.015","0.032","0.036"
"WFM105","2015.0","2.0","01/06/2015 09:00:00","01/13/2015 08:00:00","2.111","1.165","0.423","0.702","1.114","0.441","0.061","0.087","0.014","0.027","0.018"
